Time-Year,Time-Date,Ticker,AAPL,CDW,CTRX,FB,GOOG,GOOGL,INTC,MSFT,MU,QCOM,STX,TECD,TXN,WDC
2012,2012-11-19,,90.06,,124.24,59.95,,105.67,74.03,86.62,72.99,93.19,108.42,85.10,90.74,88.61
2012,2012-11-20,,89.30,,124.50,60.42,,105.95,71.32,86.55,73.25,93.27,106.58,83.53,92.03,86.33
2012,2012-11-21,,89.42,,124.29,63.61,,105.31,70.81,87.34,72.73,93.27,107.05,82.37,91.67,87.07
2012,2012-11-23,,90.98,,125.75,62.78,,105.64,72.11,89.78,74.84,94.76,109.23,83.21,92.90,88.85
2012,2012-11-26,,93.85,,121.07,67.85,,104.56,72.73,88.78,75.10,93.79,109.44,82.12,93.03,90.69
2012,2012-11-27,,93.09,,120.43,68.40,,106.07,72.89,87.75,74.84,93.44,103.85,83.38,92.50,87.83
2012,2012-11-28,,92.80,,118.01,68.95,,108.12,73.48,88.68,76.02,94.04,102.82,83.43,93.49,85.83
2012,2012-11-29,,93.83,,121.10,71.46,,109.42,71.40,87.34,77.87,95.09,101.11,83.13,94.36,85.89
2012,2012-11-30,,93.18,,124.37,73.24,,110.44,71.56,86.28,78.66,95.50,100.47,82.68,92.53,84.65
2012,2012-12-03,,93.33,,122.76,70.73,,109.95,71.44,85.66,78.13,95.12,101.50,81.90,92.96,84.60
2012,2012-12-04,,91.67,,123.07,71.83,,109.28,73.01,85.45,79.58,95.26,105.90,82.82,92.96,85.05
2012,2012-12-05,,85.78,,122.86,72.48,,108.77,72.58,86.45,81.42,95.89,110.47,83.68,93.76,91.24
2012,2012-12-06,,87.12,,124.57,70.55,,109.30,73.72,86.62,84.45,96.74,114.19,83.85,93.59,93.94
2012,2012-12-07,,84.89,,125.75,71.91,,108.21,73.72,85.76,84.85,96.23,113.42,83.38,93.73,95.20
2012,2012-12-10,,84.35,,126.79,72.82,,108.40,73.44,87.31,87.88,96.33,115.68,84.09,93.63,97.35
2012,2012-12-11,,86.19,,126.10,73.19,,110.21,75.52,88.54,89.20,96.97,116.20,84.44,97.34,96.62
2012,2012-12-12,,85.80,,126.49,72.14,,110.32,75.60,88.30,88.41,95.67,112.52,84.61,97.51,96.51
2012,2012-12-13,,84.32,,125.57,73.87,,111.13,74.93,87.86,87.75,94.57,112.52,83.41,96.02,96.43
2012,2012-12-14,,81.16,,125.67,70.13,,111.01,75.09,86.90,90.25,90.16,112.14,83.30,96.68,96.30
2012,2012-12-17,,82.60,,127.94,69.97,,113.99,75.21,87.82,87.09,93.49,113.76,83.77,97.05,96.96
2012,2012-12-18,,85.00,,128.35,72.48,,114.04,76.66,89.33,88.27,95.48,119.06,84.89,98.41,100.94
2012,2012-12-19,,83.79,,126.64,71.70,,113.88,77.17,88.51,89.86,94.26,122.95,85.47,98.11,105.01
2012,2012-12-20,,83.06,,125.52,71.57,,114.24,76.89,89.71,89.46,94.73,123.21,86.56,98.21,107.45
2012,2012-12-21,,82.68,,123.86,68.69,,113.17,75.95,88.95,83.27,92.84,123.50,85.40,97.11,107.29
2012,2012-12-24,,82.81,,123.52,70.44,,112.21,75.48,87.72,82.08,93.27,122.82,84.63,97.11,106.56
2012,2012-12-26,,81.68,,121.33,69.34,,112.11,75.52,87.07,81.42,92.81,123.21,84.28,96.71,107.29
2012,2012-12-27,,82.00,,119.28,68.14,,111.70,75.01,87.38,81.95,92.69,122.52,84.56,96.52,107.24
2012,2012-12-28,,81.13,,119.16,67.77,,110.71,73.99,86.04,80.76,91.37,121.45,83.85,95.65,105.67
2012,2012-12-31,,84.72,,120.31,69.63,,111.87,75.40,86.55,83.53,93.22,123.38,85.23,96.98,108.29
2013,2013-01-02,,87.40,,123.88,73.24,,114.38,78.19,89.50,87.35,97.57,129.57,88.02,101.43,110.73
2013,2013-01-03,,86.31,,125.82,72.64,,114.45,77.95,88.30,90.91,97.11,127.26,87.40,100.13,109.65
2013,2013-01-04,,83.90,,127.89,75.23,,116.71,77.36,86.66,91.70,95.68,127.52,87.85,99.90,109.29
2013,2013-01-07,,83.40,,132.23,76.96,,116.20,77.72,86.52,94.60,96.45,127.65,86.56,100.20,109.34
2013,2013-01-08,,83.63,,132.69,76.01,,115.97,77.13,86.04,95.26,96.30,127.31,85.55,99.04,107.00
2013,2013-01-09,,82.33,,133.44,80.02,,116.73,78.42,86.55,96.31,97.77,135.77,85.83,100.46,111.65
2013,2013-01-10,,83.34,,134.41,81.87,,117.26,79.72,85.76,97.76,97.61,136.58,87.33,101.83,112.57
2013,2013-01-11,,82.83,,131.29,82.97,,117.03,80.46,86.96,99.34,97.80,135.00,88.41,101.79,112.09
2013,2013-01-14,,79.88,,133.18,80.96,,114.38,80.46,87.14,100.13,96.80,137.74,88.56,101.53,113.93
2013,2013-01-15,,77.36,,133.05,78.73,,114.65,79.99,88.20,100.13,97.10,139.74,89.09,101.33,114.30
2013,2013-01-16,,80.57,,130.96,78.08,,113.10,80.86,87.65,101.05,97.63,139.10,88.99,102.06,115.48
2013,2013-01-17,,80.03,,134.18,78.84,,112.49,82.93,88.30,102.90,98.16,142.01,90.83,104.08,115.27
2013,2013-01-18,,79.60,,133.00,77.58,,111.42,77.72,88.30,103.95,97.46,143.46,91.11,105.24,114.22
2013,2013-01-22,,80.36,,132.75,80.38,,111.16,77.40,87.99,103.29,97.46,153.63,91.46,105.04,120.72
2013,2013-01-23,,81.83,,132.90,80.62,,117.26,77.21,89.47,102.50,97.79,148.50,91.33,103.85,119.96
2013,2013-01-24,,71.73,,135.68,81.30,,119.27,76.62,89.54,103.16,97.05,149.53,92.57,103.88,121.80
2013,2013-01-25,,70.03,,135.96,82.50,,119.19,76.66,90.36,103.69,95.92,151.07,93.50,102.99,122.56
2013,2013-01-28,,71.61,,133.15,84.93,,118.72,76.97,90.46,103.03,95.94,151.71,95.45,103.72,123.98
2013,2013-01-29,,72.96,,134.00,80.54,,119.19,77.80,90.77,99.87,95.61,137.52,94.76,103.22,117.52
2013,2013-01-30,,72.73,,134.64,81.72,,119.21,78.15,90.26,100.79,95.73,137.44,95.10,103.68,119.41
2013,2013-01-31,,72.52,,132.54,81.04,,119.51,76.93,88.95,99.60,99.48,137.78,95.30,104.51,119.81
2013,2013-02-01,,72.22,,136.65,77.77,,122.66,78.11,90.53,103.16,100.55,136.54,96.78,106.54,119.20
